hpx,n,gflux,bpflux,rpflux
10480,635,6.919765903588748E8,3.1025293547634006E8,5.744992326051385E8
10213,237,3.296813045238926E8,1.6481137573637226E8,2.723824081716104E8
5480,448,6.619176759047085E8,3.4389908835076267E8,5.072144949257443E8
7329,350,4.208515129243062E8,1.8469802561320314E8,3.8974434805070025E8
6394,82,1.8069076856099713E8,1.0370758467054142E8,1.4753904412988943E8
6428,120,2.9029817524504906E8,1.3982376845505044E8,2.174381543915924E8
7205,1394,1.50936237961448E9,6.451250260105395E8,1.3182894159081523E9
2303,88,2.0013939387933764E8,1.0815477722269113E8,1.339059129923443E8
7806,190,2.2353403972070736E8,9.950457669314578E7,1.8425157757926592E8
559,182,3.806272897853716E8,1.9041160029941466E8,2.840155950319438E8
10703,403,5.216032886755548E8,2.2867761817813808E8,4.507863040856006E8
1839,114,1.713777048933606E8,8.583013624151337E7,1.2406295738010418E8
9756,309,4.600002213017516E8,2.2981013150074467E8,3.377606614933174E8
11787,378,5.009111075130513E8,2.2499890720959267E8,4.0517266559477645E8
12246,169,2.5675526751759487E8,1.244233786251511E8,2.0250824597969767E8
4749,139,2.1321044985884023E8,1.1407468297461654E8,1.4980233582494482E8
9495,593,8.07122627512648E8,3.674191413398761E8,6.518841933509626E8
7899,149,2.2948307824084604E8,1.0690593721181302E8,1.8003770004880303E8
2943,171,2.646477143952847E8,1.2227481578994712E8,2.0860273882396457E8
1567,178,3.23792437196928E8,1.5417654219488493E8,2.4676090706505176E8
2673,86,1.6798975971787938E8,8.370279745877722E7,1.2655403555421448E8
2381,185,3.230016218568625E8,1.5330707651419154E8,2.773221546370059E8
2834,108,1.7924883536185703E8,9.435568539237292E7,1.2328193240214445E8
6966,57,1.1656914786515447E8,5.371435566452978E7,9.038027424649313E7
2835,88,1.429580347852519E8,6.180867565185406E7,1.2134557097214693E8
6314,140,2.261501263482285E8,1.1184005859870349E8,1.6784243670205736E8
3162,244,4.0914089477370703E8,1.9757035714584866E8,3.112317672417183E8
12148,114,2.3247076804066297E8,1.030116172658527E8,1.9333010190490925E8
993,184,3.6490281639663106E8,2.176381390788954E8,2.695218700616667E8
6173,147,2.6259058123485988E8,1.0971424410212544E8,2.2424898206319687E8
387,185,3.5494829404259187E8,1.7195498899913555E8,2.7615035596627367E8
8550,147,2.786907199813759E8,1.2675897665210846E8,2.2408049705992696E8
10655,302,5.0482938897362494E8,2.2130528122300255E8,4.3212596248387957E8
1940,144,2.1606468383007306E8,1.0530790770158063E8,1.6160285934020758E8
5352,187,3.463778088741105E8,1.7367491678309688E8,2.8309584532043374E8
289,171,2.1431805685466656E8,8.751609461016978E7,1.933614549604672E8
10383,709,8.976851652392855E8,4.3220216804983115E8,7.239044786032382E8
8225,160,3.456387992434793E8,1.4449933892268696E8,3.0102810894620514E8
9639,428,6.344050258202233E8,2.893953992679297E8,5.018930374232104E8
4536,93,1.7817429748955995E8,9.691504569828029E7,1.1816830375186338E8
441,366,5.499256173755149E8,2.4858406641548714E8,4.477291607933123E8
9379,228,4.037321474093689E8,2.138457377519352E8,2.806495490242612E8
3116,348,4.8753204648954797E8,2.2409434467046475E8,4.0601512051501906E8
5512,430,5.737554746719992E8,3.115992853434045E8,4.171636449936556E8
2853,98,2.243778239923686E8,1.1307282973528998E8,1.609075870732174E8
6691,158,2.9528832996627396E8,1.564360662379961E8,2.0601036007164758E8
7062,80,1.3906915143840012E8,6.95310820699052E7,1.0075126799905625E8
3042,115,2.5018141461348155E8,1.2702234446008798E8,1.8073450269942728E8
2556,155,3.2457399711731124E8,1.527486765446195E8,2.4859807629823768E8
10744,139,1.8463717979402086E8,7.405475977418116E7,1.6634609267963627E8
5836,133,2.7351787425390154E8,1.3747341445945314E8,2.0138140676989192E8
5995,484,6.39326811984545E8,3.2906163214521796E8,4.601259814679707E8
10159,606,7.92589212400681E8,3.7382264533270156E8,6.141503382213998E8
3689,638,7.977215089777421E8,3.731538590797907E8,6.518762835741513E8
1055,122,2.2547270385144624E8,1.1650940669091104E8,1.586726334362352E8
7392,369,5.529976261391399E8,2.2942845390418556E8,4.9281999174702233E8
11039,205,3.752513892393863E8,1.471294686310885E8,3.342989468899386E8
10811,397,5.276185394112331E8,2.5007685037269965E8,4.213641243693881E8
9359,240,3.82460233988163E8,1.835700975883022E8,2.927398680234917E8
4547,92,2.4329521708066624E8,1.2505616204302457E8,1.8056445565644342E8
7314,273,3.144481872374201E8,1.181226158175257E8,2.936962122354754E8
10846,299,4.165139034821452E8,1.6511884376573032E8,3.7852461422660786E8
5934,294,4.57624980480419E8,2.402580605544248E8,3.244689682506891E8
3579,420,6.032267849704624E8,2.8402849417198724E8,5.0025075327902436E8
2085,97,1.9099009741109535E8,9.286213735864657E7,1.4148595963631594E8
