#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-04T13:10:18 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-04T13:10:18	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=I/239/hip_main&Vmag=%3C3.6&-out.max=999&-out=HIP,RAICRS,DEICRS,Plx,pmRA,pmDE,Vmag,B-V	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#INFO	ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/239	    IVOID of underlying data collection
#INFO	creator=ESA 1997	    First author or institution
#INFO	cites=1997HIP...C......0E	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/239	    Dataset landing page
#INFO	publication_date=2021-11-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	RAICRS	(F12.8)	? alpha, degrees (ICRS, Epoch=J1991.25) (H8)	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	? delta, degrees (ICRS, Epoch=J1991.25) (H9)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	pmRA	(F8.2)	*? Proper motion mu_alpha.cos(delta), ICRS(H12)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	*? Proper motion mu_delta, ICRS (H13)	[ucd=pos.pm;pos.eq.dec]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
HIP	RAICRS	DEICRS	Plx	pmRA	pmDE	Vmag	B-V
 	deg	deg	mas	mas/yr	mas/yr	mag	mag
------	------------	------------	-------	--------	--------	-----	------
   677	002.09653333	+29.09082805	  33.60	  135.68	 -162.95	 2.07	-0.038
   746	002.29204036	+59.15021814	  59.89	  523.39	 -180.42	 2.28	 0.380
  1067	003.30895828	+15.18361593	   9.79	    4.70	   -8.24	 2.83	-0.190
  1562	004.85701265	-08.82382948	  11.26	  -14.37	  -37.84	 3.56	 1.214
  2021	006.41334183	-77.25503511	 133.78	 2220.12	  324.37	 2.82	 0.618
  2081	006.57028075	-42.30512197	  42.14	  232.76	 -353.64	 2.40	 1.083
  3092	009.83165567	+30.86122579	  32.19	  115.38	  -83.05	 3.27	 1.268
  3179	010.12661349	+56.53740928	  14.27	   50.36	  -32.17	 2.24	 1.170
  3419	010.89678452	-17.98668410	  34.04	  232.79	   32.71	 2.04	 1.019
  3821	012.27125262	+57.81654770	 167.99	 1087.11	 -559.65	 3.46	 0.587
  4427	014.17708808	+60.71674966	   5.32	   25.65	   -3.82	 2.15	-0.046
  5165	016.52127713	-46.71849042	  16.46	  -70.16	   31.60	 3.32	 0.885
  5364	017.14693197	-10.18192800	  27.73	  215.81	 -138.33	 3.46	 1.161
  5447	017.43248991	+35.62083048	  16.36	  175.59	 -112.23	 2.07	 1.576
  6686	021.45251267	+60.23540347	  32.81	  297.24	  -49.49	 2.66	 0.160
  6867	022.09142360	-43.31772906	  13.94	  -18.21	 -207.71	 3.41	 1.542
  7588	024.42813204	-57.23666007	  22.68	   88.02	  -40.08	 0.45	-0.158
  7607	024.49792651	+48.62848641	  18.76	   60.90	 -112.42	 3.59	 1.275
  8102	026.02136441	-15.93955597	 274.17	-1721.82	  854.07	 3.49	 0.727
  8796	028.27041595	+29.57939727	  50.87	   12.02	 -233.69	 3.42	 0.488
  8886	028.59868107	+63.67014686	   7.38	   31.98	  -18.66	 3.35	-0.150
  8903	028.65978771	+20.80829949	  54.74	   96.32	 -108.80	 2.64	 0.165
  9236	029.69113269	-61.56992444	  45.74	  262.54	   26.88	 2.86	 0.290
  9640	030.97466283	+42.32984832	   9.19	   43.08	  -50.85	 2.10	 1.370
  9884	031.79285757	+23.46277743	  49.48	  190.73	 -145.77	 2.01	 1.151
 10064	032.38550383	+34.98739204	  26.24	  148.78	  -39.13	 3.00	 0.140
 10602	034.12708452	-51.51211145	  21.06	   90.75	  -21.90	 3.56	-0.120
 11767	037.94614689	+89.26413805	   7.56	   44.22	  -11.74	 1.97	 0.636
 12706	040.82551897	+03.23617162	  39.78	 -146.43	 -145.27	 3.47	 0.093
 13847	044.56548180	-40.30473491	  20.22	  -53.53	   25.71	 2.88	 0.128
 14135	045.56991279	+04.08992539	  14.82	  -11.81	  -78.76	 2.54	 1.630
 14328	046.19912598	+53.50645031	  12.72	    0.50	   -4.19	 2.91	 0.716
 14354	046.29373754	+38.84053298	  10.03	  128.69	 -106.61	 3.32	 1.528
 14576	047.04220716	+40.95565120	  35.14	    2.39	   -1.44	 2.09	-0.003
 15863	051.08061889	+49.86124281	   5.51	   24.11	  -26.01	 1.79	 0.481
 17358	055.73117540	+47.78765330	   6.18	   23.83	  -41.93	 3.01	-0.125
 17378	055.81231706	-09.76519868	 110.58	  -91.71	  742.23	 3.52	 0.915
 17678	056.80929799	-74.23924251	  15.23	   51.07	  115.27	 3.26	 1.590
 17702	056.87110065	+24.10524193	   8.87	   19.35	  -43.11	 2.85	-0.086
 18246	058.53299363	+31.88365776	   3.32	    4.41	   -9.15	 2.84	 0.271
 18532	059.46342138	+40.01027315	   6.06	   12.61	  -24.06	 2.90	-0.199
 18543	059.50720862	-13.50824471	  14.75	   60.51	 -111.34	 2.97	 1.588
 18724	060.17008591	+12.49037571	   8.81	   -8.15	  -11.98	 3.41	-0.099
 19780	063.60596306	-62.47397888	  19.98	   41.64	   49.72	 3.33	 0.915
 20042	064.47341068	-33.79833145	  18.27	   62.31	   -6.75	 3.55	-0.108
 20889	067.15388879	+19.18052092	  21.04	  107.23	  -36.77	 3.53	 1.014
 20894	067.16531219	+15.87094680	  21.89	  108.66	  -26.39	 3.40	 0.179
 21281	068.49882684	-55.04500559	  18.56	   58.06	   12.73	 3.30	-0.079
 21421	068.98000195	+16.50976164	  50.09	   62.78	 -189.36	 0.87	 1.538
