#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-04T11:07:02 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-04T11:07:02	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/529/A75/tableeq5&Z=0.0&xi=2.0&Filt=%3D%3DV&Met=L&Mod=A&-out.max=99999&-out=logg,Teff,a1,a2,a3,a4	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35290075
#Name: J/A+A/529/A75
#Title: Limb-darkening coefficients (Claret+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/a+a/529/a75	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/529/a75	    IVOID of underlying data collection
#INFO	creator=Claret A.	    First author or institution
#INFO	cites=bibcode:2011A&A...529A..75C	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/529/A75	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35290075	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_529_A75_tableeq5:
#Name: J/A+A/529/A75/tableeq5
#Title: a1, a2, a3, a4 limb darkening coefficients from equation 5
#Column	logg	(F5.2)	[0/5] Surface gravity	[ucd=phys.gravity]
#Column	Teff	(F6)	[2000/50000] Effective temperature	[ucd=phys.temperature.effective]
#Column	a1	(F7.4)	Equation 5 limb darkening coefficient a1 (G2)	[ucd=phot.limbDark]
#Column	a2	(F7.4)	Equation 5 limb darkening coefficient a2 (G2)	[ucd=phot.limbDark]
#Column	a3	(F7.4)	Equation 5 limb darkening coefficient a3 (G2)	[ucd=phot.limbDark]
#Column	a4	(F7.4)	Equation 5 limb darkening coefficient a4 (G2)	[ucd=phot.limbDark]
logg	Teff	a1	a2	a3	a4
[cm/s2]	K	 	 	 	
-----	------	-------	-------	-------	-------
 0.00	  3500	 0.7444	-0.7844	 0.9625	 0.0479
 0.50	  3500	 0.7230	-0.6961	 0.8481	 0.0968
 1.00	  3500	 0.6877	-0.5698	 0.6850	 0.1652
 1.50	  3500	 0.6434	-0.4268	 0.5083	 0.2359
 2.00	  3500	 0.5913	-0.2677	 0.3196	 0.3082
 2.50	  3500	 0.5477	-0.1418	 0.1884	 0.3475
 3.00	  3500	 0.5454	-0.1638	 0.3329	 0.2188
 3.50	  3500	 0.5630	-0.2247	 0.7846	-0.2072
 4.00	  3500	 0.4635	 0.3254	 0.2751	-0.1781
 4.50	  3500	 0.3549	 0.9050	-0.4670	 0.0688
 5.00	  3500	 0.3088	 1.2240	-0.9441	 0.2567
 0.00	  3750	 0.6429	-0.8626	 1.4403	-0.2967
 0.50	  3750	 0.6785	-0.8958	 1.4478	-0.2941
 1.00	  3750	 0.7151	-0.9427	 1.4676	-0.2959
 1.50	  3750	 0.7402	-0.9786	 1.4788	-0.2939
 2.00	  3750	 0.7461	-0.9733	 1.4482	-0.2771
 2.50	  3750	 0.7371	-0.9347	 1.3876	-0.2519
 3.00	  3750	 0.7208	-0.8777	 1.3169	-0.2297
 3.50	  3750	 0.6726	-0.6888	 1.1674	-0.2357
 4.00	  3750	 0.5381	-0.0295	 0.5456	-0.1711
 4.50	  3750	 0.4616	 0.6355	-0.3023	 0.0611
 5.00	  3750	 0.4475	 1.0053	-0.9008	 0.2879
 0.00	  4000	 0.4058	-0.3088	 1.0336	-0.2529
 0.50	  4000	 0.5043	-0.5077	 1.2247	-0.3210
 1.00	  4000	 0.5958	-0.6950	 1.3934	-0.3768
 1.50	  4000	 0.6620	-0.8339	 1.5108	-0.4115
 2.00	  4000	 0.6937	-0.8920	 1.5442	-0.4160
 2.50	  4000	 0.7013	-0.9015	 1.5335	-0.4062
 3.00	  4000	 0.6964	-0.8861	 1.5004	-0.3902
 3.50	  4000	 0.6878	-0.8653	 1.4749	-0.3859
 4.00	  4000	 0.6196	-0.5530	 1.1151	-0.2883
 4.50	  4000	 0.5210	 0.1568	 0.2333	-0.0452
 5.00	  4000	 0.5669	 0.5198	-0.3684	 0.1323
 0.00	  4250	 0.2609	 0.1482	 0.5829	-0.1471
 0.50	  4250	 0.3706	-0.0943	 0.8520	-0.2586
