#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-04T11:02:48 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-04T11:02:48	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A%2BA/554/A98/table5&-out.max=99999&-out=Teff,logg,M,f1(V),f2(V),f3(V),f4(V)	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35540098
#Name: J/A+A/554/A98
#Title: Limb-darkening coefficients for red giants (Neilson+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/a+a/554/a98	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/554/a98	    IVOID of underlying data collection
#INFO	creator=Neilson H.R.	    First author or institution
#INFO	cites=bibcode:2013A&A...554A..98N	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/554/A98	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35540098	    Dataset identifier that can be used for citation
#INFO	publication_date=2013-12-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_554_A98_table5:
#Name: J/A+A/554/A98/table5
#Title: Spherical 4-parameter limb-darkening coefficients
#Column	Teff	(I4)	[3000/8000] Model effective temperature	[ucd=phys.temperature.effective;meta.modelled]
#Column	logg	(F5.2)	[-1/3] Model surface gravity	[ucd=phys.gravity;meta.modelled]
#Column	M	(F4.1)	[0.5/20] Model mass	[ucd=phys.mass;meta.modelled]
#Column	f1(V)	(F7.4)	V-band four-parameter f_1_ coefficient (G4)	[ucd=phot.limbDark]
#Column	f2(V)	(F8.4)	V-band four-parameter f_2_ coefficient (G4)	[ucd=phot.limbDark]
#Column	f3(V)	(F8.4)	V-band four-parameter f_3_ coefficient (G4)	[ucd=phot.limbDark]
#Column	f4(V)	(F8.4)	V-band four-parameter f_4_ coefficient (G4)	[ucd=phot.limbDark]
Teff	logg	M	f1(V)	f2(V)	f3(V)	f4(V)
K	[cm/s2]	Msun	 	 	 	
----	-----	----	-------	--------	--------	--------
3000	-0.25	10.0	-3.1827	 12.2835	-14.7663	  6.4557
3000	-0.50	10.0	-2.4864	  9.9424	 -9.5398	  2.9449
3000	-0.75	10.0	-3.1015	  9.4684	 -7.0461	  1.4449
3100	-0.25	10.0	-1.8294	  8.8207	 -9.6876	  3.6179
3100	-0.50	10.0	-2.7001	 10.3824	-10.9287	  4.0806
3100	-0.75	10.0	-2.3528	  7.5595	 -6.9385	  2.5566
3200	-0.25	10.0	-0.7447	  2.4567	 -1.3007	  0.5406
3200	-0.50	10.0	-0.8199	  1.8062	 -0.3873	  0.3258
3300	-0.25	10.0	-2.7784	  9.5804	-10.5960	  4.5922
3300	-0.50	10.0	-2.2142	  6.9172	 -6.8299	  2.9521
3400	-0.25	10.0	-1.1525	  2.9413	 -1.3472	  0.4612
3400	-0.50	10.0	-0.3379	 -0.5340	  3.3787	 -1.5572
3500	-0.25	10.0	-1.0696	  2.0264	  0.4910	 -0.5511
3500	-0.50	10.0	-0.0144	 -2.1577	  6.0102	 -2.8735
3500	-0.75	10.0	 1.9538	 -9.2449	 14.6248	 -6.2277
3600	-0.25	10.0	-0.9016	  1.1644	  1.8784	 -1.2373
3600	-0.50	10.0	 0.5585	 -4.4807	  9.2211	 -4.2978
3600	-0.75	10.0	 2.7452	-12.0709	 18.1408	 -7.6505
3700	-0.25	10.0	-0.7299	  0.3276	  3.2252	 -1.9104
3700	-0.50	10.0	 0.8732	 -5.7842	 11.1039	 -5.1719
3800	-0.25	10.0	-0.6128	 -0.2543	  4.1747	 -2.3895
3800	-0.50	10.0	 1.1305	 -6.8458	 12.6365	 -5.8837
3900	-0.25	10.0	-0.5689	 -0.5299	  4.7026	 -2.6846
3900	-0.50	10.0	 1.3154	 -7.6243	 13.7933	 -6.4352
4000	-0.25	10.0	-0.4986	 -0.9042	  5.3429	 -3.0179
4000	-0.50	10.0	 1.4950	 -8.3579	 14.8445	 -6.9208
4100	-0.25	10.0	-0.5348	 -0.8557	  5.4421	 -3.1330
4100	-0.50	10.0	 1.7539	 -9.3746	 16.2528	 -7.5538
4200	-0.25	10.0	-0.3457	 -1.6736	  6.6336	 -3.6847
4200	-0.50	10.0	 1.9843	-10.2937	 17.5528	 -8.1497
4300	-0.25	10.0	-0.2342	 -2.1882	  7.4408	 -4.0827
4300	-0.50	10.0	 2.4136	-11.8897	 19.6353	 -9.0349
4400	-0.25	10.0	-0.1445	 -2.6070	  8.1129	 -4.4208
4400	-0.50	10.0	 3.4054	-15.3581	 23.8437	-10.6921
4500	-0.25	10.0	 0.0207	 -3.3136	  9.1609	 -4.9174
4600	-0.25	10.0	 0.0298	 -3.4093	  9.3927	 -5.0628
4700	-0.25	10.0	 0.4719	 -5.1747	 11.8321	 -6.1500
4800	-0.25	10.0	 0.7565	 -6.3085	 13.4060	 -6.8560
4900	-0.25	10.0	 1.0600	 -7.5157	 15.0839	 -7.6100
5000	-0.25	10.0	 1.4802	 -9.1391	 17.2747	 -8.5690
3000	 0.00	10.0	-2.6443	 10.9718	-13.5036	  6.0111
3100	 0.00	10.0	-2.8589	 11.6777	-14.1061	  6.1115
3200	 0.00	10.0	-1.2469	  5.0234	 -6.2221	  3.3684
3300	 0.00	10.0	-3.0563	 11.5988	-13.7994	  6.0561
3400	 0.00	10.0	-1.5796	  5.0772	 -4.5841	  1.9699
3500	 0.00	10.0	-1.8749	  5.6213	 -4.5674	  1.6744
3600	 0.00	10.0	-1.8592	  5.2880	 -3.8485	  1.2690
3700	 0.00	10.0	-1.8292	  4.9834	 -3.1870	  0.8809
3800	 0.00	10.0	-1.7870	  4.6364	 -2.5094	  0.5076
3900	 0.00	10.0	-1.8521	  4.8023	 -2.5789	  0.4708
4000	 0.00	10.0	-1.7826	  4.3577	 -1.8036	  0.0717
4100	 0.00	10.0	-1.8101	  4.3560	 -1.6526	 -0.0539
4200	 0.00	10.0	-1.8135	  4.2745	 -1.4110	 -0.2125
4300	 0.00	10.0	-1.8272	  4.2329	 -1.2213	 -0.3494
4400	 0.00	10.0	-1.8292	  4.1467	 -0.9705	 -0.5138
4500	 0.00	10.0	-1.7762	  3.8391	 -0.4254	 -0.8025
4600	 0.00	10.0	-1.7019	  3.4475	  0.2338	 -1.1413
4700	 0.00	10.0	-1.6013	  2.9459	  1.0444	 -1.5461
4800	 0.00	10.0	-1.5099	  2.4940	  1.7791	 -1.9160
4900	 0.00	10.0	-1.3034	  1.5763	  3.1393	 -2.5535
5000	 0.00	10.0	-1.0815	  0.5979	  4.5915	 -3.2365
5100	 0.00	10.0	-0.7073	 -0.9718	  6.8276	 -4.2543
3000	 2.00	10.0	-6.6065	 27.5492	-41.6440	 21.2552
3000	 2.25	10.0	-6.0284	 25.2069	-37.9179	 19.3328
3000	 2.50	10.0	-5.6722	 23.7840	-35.6122	 18.1193
3000	 0.25	10.0	-2.0332	  9.3213	-11.5959	  5.1898
3000	 2.75	10.0	-4.4957	 19.1239	-28.2366	 14.3076
3100	 2.00	10.0	-0.6495	  4.7775	 -6.5776	  3.3811
3100	 2.25	10.0	-3.8670	 16.8110	-24.9602	 12.7518
3100	 2.50	10.0	-4.9454	 20.9014	-31.1969	 15.9070
3100	 0.25	10.0	-2.3053	 10.3878	-12.9090	  5.6971
